"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Fetch","Fetch"
"PayPal Express Checkout Token does not exist.","Le jeton PayPal Express n'existe pas"
"PayPal Express Order Review Form","Formulaire de commentaire de commande PayPal Express"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Pending PayPal","En attente de Paypal"
"Reports","Rapports"
"Sales","Ventes"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Impossible d'annuler le paiement PayPal Express."
"Unable to initialize Express Checkout review.","Impossible d'initialiser le commentaire PayPal Express."
"Unable to place the order.","Impossible de passer la commande."
"Unable to process Express Checkout approval.","Impossible de procéder à l'approbation PayPal Express."
"Unable to start Express Checkout.","Impossible de démarrer PayPal Express."
"Unable to update shipping method.","Impossible de mettre à jour le mode de livraison."
"View","Afficher"
"View Transaction","Voir la transaction"
"Wrong PayPal Express Checkout Token specified.","Le jeton pour PayPal Express est incorrect."
"You will be redirected to PayPal in a few seconds.","Vous serez redirigé vers Paypal dans quelques secondes."
